Date,Year,Avg_Price,Total_Volume,Small_4046,Medium_4225,Large_4770,Other_PLU,Total_Bags,Small_Bags,Medium_Bags,Large_Bags,Type,Region
2015-03-15,2015,1.24,693698,53400,395837,46596,197865,197865,193131,4734,0,conventional,BaltimoreWashington
2015-03-08,2015,1.26,657746,55285,367671,42268,192522,192522,188374,4148,0,conventional,BaltimoreWashington
2015-03-01,2015,1.16,770115,59040,498873,40242,171960,171961,168224,3737,0,conventional,BaltimoreWashington
2015-02-22,2015,1.11,749846,50501,445971,62612,190762,190763,186977,3786,0,conventional,BaltimoreWashington
2015-02-15,2015,1.25,637319,49752,361677,45900,179990,179990,174865,5125,0,conventional,BaltimoreWashington
2015-02-08,2015,1.09,844931,71704,554857,37437,180933,180933,175771,5162,0,conventional,BaltimoreWashington
2015-02-01,2015,1.06,1007419,93167,666010,83652,164590,164589,159917,4672,0,conventional,BaltimoreWashington
2015-01-25,2015,1.2,692934,49696,386399,39489,217350,217351,209762,7589,0,conventional,BaltimoreWashington
2015-01-18,2015,1.23,657741,49947,393360,40576,173858,173859,169391,4468,0,conventional,BaltimoreWashington
2015-01-11,2015,1.17,670232,51461,420838,42527,155406,155407,151331,4076,0,conventional,BaltimoreWashington
2015-01-04,2015,1.08,788025,53987,552906,39995,141137,141137,137146,3991,0,conventional,BaltimoreWashington
2015-12-27,2015,0.97,62910,30482,2972,5894,23562,23561,23520,6,35,conventional,Boise
2015-12-20,2015,1.03,57504,25628,2546,7394,21936,21935,21900,11,24,conventional,Boise
2015-12-13,2015,0.99,58461,27149,2986,6458,21868,21868,21843,4,21,conventional,Boise
2015-12-06,2015,0.71,95295,35591,12526,4086,43092,43092,42735,0,357,conventional,Boise
2015-11-29,2015,1.06,49069,24190,2790,6031,16058,16058,15861,0,197,conventional,Boise
2015-11-22,2015,1.09,52876,25409,3256,6663,17548,17548,17531,4,13,conventional,Boise
2015-11-15,2015,1.01,68648,24425,12086,6502,25635,25636,25200,9,427,conventional,Boise
2015-11-08,2015,1.11,55848,31910,4652,6286,13000,13000,12778,120,102,conventional,Boise
2015-11-01,2015,1.14,53586,30435,4360,6428,12363,12363,12332,0,31,conventional,Boise
2015-10-25,2015,1.11,59874,29522,10090,6552,13710,13711,13661,0,50,conventional,Boise
2015-10-18,2015,1.16,54191,29614,9069,6586,8922,8921,8918,0,3,conventional,Boise
2015-10-11,2015,0.94,80904,26114,33416,7604,13770,13769,13543,185,41,conventional,Boise
2015-10-04,2015,1.12,59496,35154,10822,7552,5968,5969,5462,505,2,conventional,Boise
2015-09-27,2015,0.99,64188,47007,5754,3663,7764,7763,7597,160,6,conventional,Boise
2015-09-20,2015,1.03,73953,34827,21592,6640,10894,10893,10601,273,19,conventional,Boise
2015-09-13,2015,1.08,64209,45739,4394,6593,7483,7483,7483,0,0,conventional,Boise
2015-09-06,2015,1.16,64465,44135,5402,7992,6936,6936,6934,0,2,conventional,Boise
2015-08-30,2015,1.19,60100,40927,5810,7923,5440,5441,5441,0,0,conventional,Boise
2015-08-23,2015,1.05,70774,44059,14861,4433,7421,7420,7420,0,0,conventional,Boise
2015-08-16,2015,1.12,64002,46189,5258,6457,6098,6097,6091,0,6,conventional,Boise
2015-08-09,2015,1.1,61287,44740,5034,3931,7582,7582,7569,13,0,conventional,Boise
2015-08-02,2015,1.07,67764,51151,5141,5435,6037,6037,5988,49,0,conventional,Boise
2015-07-26,2015,1.07,67826,50978,4856,5480,6512,6512,6358,154,0,conventional,Boise
2015-07-19,2015,1.09,63958,45922,5300,5565,7171,7171,6354,817,0,conventional,Boise
2015-07-12,2015,1.05,74678,51829,5803,7474,9572,9572,8335,1237,0,conventional,Boise
2015-07-05,2015,1.15,85044,61950,8022,8435,6637,6638,6557,81,0,conventional,Boise
2015-06-28,2015,1.04,75280,59111,6573,3975,5621,5621,5619,0,2,conventional,Boise
2015-06-21,2015,1.06,81397,52790,15445,5876,7286,7287,7022,0,265,conventional,Boise
2015-06-14,2015,0.99,87608,58791,17880,3136,7801,7800,7800,0,0,conventional,Boise
2015-06-07,2015,1.12,80751,61245,7238,6656,5612,5613,5604,9,0,conventional,Boise
2015-05-31,2015,0.97,76689,57374,7421,4028,7866,7866,7860,6,0,conventional,Boise
2015-05-24,2015,1.03,83210,54826,14839,6037,7508,7508,7470,0,38,conventional,Boise
2015-05-17,2015,0.96,77988,61320,7394,2920,6354,6354,6346,0,8,conventional,Boise
2015-05-10,2015,1.06,95789,62505,15897,7891,9496,9495,9453,0,42,conventional,Boise
2015-05-03,2015,1.0,85467,66880,7942,4290,6355,6355,6350,0,5,conventional,Boise
2015-04-26,2015,0.96,88111,69545,7985,3402,7179,7180,7175,0,5,conventional,Boise
2015-04-19,2015,0.99,89695,56844,21631,3260,7960,7960,7954,0,6,conventional,Boise
2015-04-12,2015,1.19,66246,44469,8506,7523,5748,5748,5748,0,0,conventional,Boise
2015-04-05,2015,1.09,76704,57340,9060,3790,6514,6514,6511,0,3,conventional,Boise
2015-03-29,2015,0.98,74544,59533,7120,3102,4789,4790,4790,0,0,conventional,Boise
2015-03-22,2015,1.17,61419,44227,6590,7290,3312,3312,3312,0,0,conventional,Boise
2015-03-15,2015,1.0,65918,51472,7018,2982,4446,4446,4446,0,0,conventional,Boise
2015-03-08,2015,1.14,65350,45880,7206,7404,4860,4860,4860,0,0,conventional,Boise
2015-03-01,2015,1.06,75046,40578,23739,3492,7237,7238,6479,759,0,conventional,Boise
2015-02-22,2015,0.99,76836,50872,16375,2122,7467,7467,7235,232,0,conventional,Boise
2015-02-15,2015,1.14,61222,41548,7840,6493,5341,5341,3648,1693,0,conventional,Boise
2015-02-08,2015,1.07,69971,54229,9647,3047,3048,3047,1373,1674,0,conventional,Boise
2015-02-01,2015,0.91,113578,67496,36532,2905,6645,6645,4867,1778,0,conventional,Boise
2015-01-25,2015,1.03,66069,51922,7556,2061,4530,4531,2010,2521,0,conventional,Boise
2015-01-18,2015,1.08,62870,50355,6342,2257,3916,3916,1119,2797,0,conventional,Boise
2015-01-11,2015,1.18,57356,38112,10998,3322,4924,4924,3295,1629,0,conventional,Boise
2015-01-04,2015,1.01,80034,44562,24964,2752,7756,7755,6064,1691,0,conventional,Boise
2015-12-27,2015,1.13,450816,3886,346965,13953,86012,86013,85914,99,0,conventional,Boston
2015-12-20,2015,1.07,489803,4912,390101,5888,88902,88901,88768,133,0,conventional,Boston
2015-12-13,2015,1.01,549946,4641,455362,219,89724,89723,89523,200,0,conventional,Boston
2015-12-06,2015,1.02,488679,5126,407520,143,75890,75890,75666,224,0,conventional,Boston
2015-11-29,2015,1.19,350560,3609,272719,106,74126,74126,73865,261,0,conventional,Boston
2015-11-22,2015,1.07,466760,4458,383420,234,78648,78648,78162,486,0,conventional,Boston
2015-11-15,2015,1.05,513739,5310,420937,140,87352,87352,85604,1748,0,conventional,Boston
2015-11-08,2015,1.04,641760,5304,542881,232,93343,93343,88265,5078,0,conventional,Boston
2015-11-01,2015,1.06,553097,4886,449532,170,98509,98508,93443,5065,0,conventional,Boston
2015-10-25,2015,1.02,534249,4005,430726,191,99327,99327,94582,4745,0,conventional,Boston
2015-10-18,2015,0.94,725296,6410,627504,333,91049,91049,86046,5003,0,conventional,Boston
2015-10-11,2015,1.14,485707,5146,378296,355,101910,101910,97513,4397,0,conventional,Boston
2015-10-04,2015,1.07,536479,5804,427359,278,103038,103038,97207,5831,0,conventional,Boston
2015-09-27,2015,1.07,553307,5211,463080,289,84727,84727,82124,2603,0,conventional,Boston
2015-09-20,2015,1.15,498640,4377,398673,418,95172,95172,91613,3559,0,conventional,Boston
2015-09-13,2015,1.03,655683,5422,560792,354,89115,89115,84844,4271,0,conventional,Boston
2015-09-06,2015,1.11,577775,4237,477868,497,95173,95172,94558,614,0,conventional,Boston
2015-08-30,2015,1.13,526665,4177,438503,554,83431,83431,83242,189,0,conventional,Boston
2015-08-23,2015,1.07,589471,4744,488292,609,95826,95826,95585,241,0,conventional,Boston
2015-08-16,2015,1.15,565795,4461,464476,749,96109,96109,95887,222,0,conventional,Boston
2015-08-09,2015,1.07,690517,4173,590998,827,94519,94519,94288,231,0,conventional,Boston
2015-08-02,2015,1.17,571994,4442,468592,1452,97508,97508,97214,294,0,conventional,Boston
2015-07-26,2015,1.28,500234,4299,393282,1958,100695,100695,100467,228,0,conventional,Boston
2015-07-19,2015,1.18,597168,4720,477630,5072,109746,109746,109519,227,0,conventional,Boston
2015-07-12,2015,1.14,634516,5332,471640,9362,148182,148183,146947,1236,0,conventional,Boston
2015-07-05,2015,1.27,582910,4743,418251,11054,148862,148861,145983,2878,0,conventional,Boston
2015-06-28,2015,1.25,560495,4688,403231,9120,143456,143456,142575,881,0,conventional,Boston
2015-06-21,2015,1.24,543505,3582,404909,8899,126115,126114,125821,293,0,conventional,Boston
2015-06-14,2015,1.08,684346,5104,521255,6545,151442,151442,151259,183,0,conventional,Boston
2015-06-07,2015,1.25,562543,4034,421007,93,137409,137408,137225,183,0,conventional,Boston
2015-05-31,2015,1.26,565161,4128,418105,109,142819,142818,142515,303,0,conventional,Boston
2015-05-24,2015,1.14,633522,4602,490486,277,138157,138157,137769,388,0,conventional,Boston
2015-05-17,2015,1.26,534489,4286,380514,163,149526,149526,147668,1858,0,conventional,Boston
2015-05-10,2015,1.14,625558,4602,476828,131,143997,143997,141309,2688,0,conventional,Boston
2015-05-03,2015,1.17,552369,3829,429586,240,118714,118714,115149,3565,0,conventional,Boston
2015-04-26,2015,1.28,465911,3915,352464,131,109401,109400,106866,2534,0,conventional,Boston
2015-04-19,2015,1.15,504620,4014,384880,163,115563,115563,114562,1001,0,conventional,Boston
2015-04-12,2015,1.26,408485,3576,294164,106,110639,110639,108644,1995,0,conventional,Boston
2015-04-05,2015,1.27,449818,3658,330425,100,115635,115636,113541,1949,146,conventional,Boston
2015-03-29,2015,1.19,453631,3619,339299,151,110562,110561,108838,1723,0,conventional,Boston
2015-03-22,2015,1.18,453173,5956,344397,156,102664,102664,102204,460,0,conventional,Boston
2015-03-15,2015,1.25,417750,6086,308997,112,102555,102556,101932,624,0,conventional,Boston
2015-03-08,2015,1.17,408404,3426,290513,79,114386,114387,113811,576,0,conventional,Boston
2015-03-01,2015,1.11,485736,4106,383574,193,97863,97863,97423,440,0,conventional,Boston
2015-02-22,2015,1.23,355432,3233,251341,142,100716,100716,100498,218,0,conventional,Boston
2015-02-15,2015,1.2,399884,3795,281106,143,114840,114840,114284,556,0,conventional,Boston
2015-02-08,2015,1.04,609985,7653,495732,384,106216,106216,105403,813,0,conventional,Boston
2015-02-01,2015,1.22,490022,6083,373452,273,110214,110214,109901,313,0,conventional,Boston
2015-01-25,2015,1.17,409344,4731,288095,46,116472,116472,115538,934,0,conventional,Boston
2015-01-18,2015,1.23,401331,4384,287779,133,109035,109037,108669,368,0,conventional,Boston
2015-01-11,2015,1.1,437772,5548,320577,122,111525,111525,111193,332,0,conventional,Boston
2015-01-04,2015,1.02,491738,7194,396752,129,87663,87663,87407,256,0,conventional,Boston
2015-12-27,2015,1.35,96233,1368,39543,86,55236,55237,55237,0,0,conventional,BuffaloRochester
2015-12-20,2015,1.37,90868,1165,38431,107,51165,51165,51165,0,0,conventional,BuffaloRochester
2015-12-13,2015,1.35,98473,1421,40783,66,56203,56202,56202,0,0,conventional,BuffaloRochester
2015-12-06,2015,1.23,108458,1738,58197,167,48356,48356,48356,0,0,conventional,BuffaloRochester
2015-11-29,2015,1.39,79973,1515,35683,113,42662,42662,42662,0,0,conventional,BuffaloRochester
2015-11-22,2015,1.4,90242,1712,38781,108,49641,49642,49642,0,0,conventional,BuffaloRochester
2015-11-15,2015,1.36,99704,1804,41457,107,56336,56335,55593,742,0,conventional,BuffaloRochester
2015-11-08,2015,1.3,111039,1289,49507,55,60188,60188,58886,1302,0,conventional,BuffaloRochester
2015-11-01,2015,1.23,118541,2181,61875,186,54299,54298,52956,1342,0,conventional,BuffaloRochester
2015-10-25,2015,1.36,99555,1546,36646,80,61283,61283,59381,1902,0,conventional,BuffaloRochester
2015-10-18,2015,1.29,106084,1536,40702,58,63788,63787,62627,1160,0,conventional,BuffaloRochester
2015-10-11,2015,1.3,109154,2170,50862,96,56026,56026,54830,1196,0,conventional,BuffaloRochester
2015-10-04,2015,1.33,98900,3020,38353,101,57426,57425,56141,1284,0,conventional,BuffaloRochester
2015-09-27,2015,1.31,90746,1908,60293,106,28439,28438,27767,671,0,conventional,BuffaloRochester
2015-09-20,2015,1.54,60624,1445,39832,89,19258,19259,18438,821,0,conventional,BuffaloRochester
2015-09-13,2015,1.59,73043,1573,48469,134,22867,22868,22422,446,0,conventional,BuffaloRochester
2015-09-06,2015,1.56,76140,1472,49388,173,25107,25106,25093,13,0,conventional,BuffaloRochester
2015-08-30,2015,1.38,83731,1406,61601,242,20482,20483,20483,0,0,conventional,BuffaloRochester
2015-08-23,2015,1.49,68953,1287,43655,170,23841,23840,23840,0,0,conventional,BuffaloRochester
2015-08-16,2015,1.5,69798,1231,45938,258,22371,22372,22372,0,0,conventional,BuffaloRochester
2015-08-09,2015,1.47,81830,1140,56289,349,24052,24052,24052,0,0,conventional,BuffaloRochester
2015-08-02,2015,1.47,78163,1448,44621,472,31622,31623,31623,0,0,conventional,BuffaloRochester
2015-07-26,2015,1.39,91825,1679,45615,742,43789,43789,43789,0,0,conventional,BuffaloRochester
